CountryName,CountryCode,Year,Average precipitation in depth (mm per year)
Afghanistan,AFG,1962,327
Albania,ALB,1962,1485
Algeria,DZA,1962,89
Angola,AGO,1962,1010
Antigua and Barbuda,ATG,1962,1030
Argentina,ARG,1962,591
Australia,AUS,1962,534
Austria,AUT,1962,1110
"Bahamas, The",BHS,1962,1292
Bahrain,BHR,1962,83
Bangladesh,BGD,1962,2666
Barbados,BRB,1962,1422
Belgium,BEL,1962,847
Belize,BLZ,1962,1705
Benin,BEN,1962,1039
Bhutan,BTN,1962,2200
Bolivia,BOL,1962,1146
Botswana,BWA,1962,416
Brazil,BRA,1962,1761
Brunei Darussalam,BRN,1962,2722
Bulgaria,BGR,1962,608
Burkina Faso,BFA,1962,748
Burundi,BDI,1962,1274
Cabo Verde,CPV,1962,228
Cambodia,KHM,1962,1904
Cameroon,CMR,1962,1604
Canada,CAN,1962,537
Chad,TCD,1962,322
Chile,CHL,1962,1522
China,CHN,1962,645
Colombia,COL,1962,3240
Comoros,COM,1962,900
"Congo, Dem. Rep.",ZAR,1962,1543
"Congo, Rep.",COG,1962,1646
Costa Rica,CRI,1962,2926
Cote d'Ivoire,CIV,1962,1348
Cuba,CUB,1962,1335
Cyprus,CYP,1962,498
Denmark,DNK,1962,703
Djibouti,DJI,1962,220
Dominica,DMA,1962,2083
Dominican Republic,DOM,1962,1410
Ecuador,ECU,1962,2274
"Egypt, Arab Rep.",EGY,1962,51
El Salvador,SLV,1962,1784
Equatorial Guinea,GNQ,1962,2156
Fiji,FJI,1962,2592
Finland,FIN,1962,536
France,FRA,1962,867
Gabon,GAB,1962,1831
"Gambia, The",GMB,1962,836
Germany,DEU,1962,700
Ghana,GHA,1962,1187
Greece,GRC,1962,652
Grenada,GRD,1962,2350
Guatemala,GTM,1962,1996
Guinea,GIN,1962,1651
Guinea-Bissau,GNB,1962,1577
Guyana,GUY,1962,2387
Haiti,HTI,1962,1440
Honduras,HND,1962,1976
Hungary,HUN,1962,589
Iceland,ISL,1962,1940
India,IND,1962,1083
Indonesia,IDN,1962,2702
"Iran, Islamic Rep.",IRN,1962,228
Iraq,IRQ,1962,216
Ireland,IRL,1962,1118
Israel,ISR,1962,435
Italy,ITA,1962,832
Jamaica,JAM,1962,2051
Japan,JPN,1962,1668
Jordan,JOR,1962,111
Kenya,KEN,1962,630
"Korea, Dem. Rep.",PRK,1962,1054
"Korea, Rep.",KOR,1962,1274
Kuwait,KWT,1962,121
Lao PDR,LAO,1962,1834
Lebanon,LBN,1962,661
Lesotho,LSO,1962,788
Liberia,LBR,1962,2391
Libya,LBY,1962,56
Luxembourg,LUX,1962,934
Madagascar,MDG,1962,1513
Malawi,MWI,1962,1181
Malaysia,MYS,1962,2875
Maldives,MDV,1962,1972
Mali,MLI,1962,282
Malta,MLT,1962,560
Mauritania,MRT,1962,92
Mauritius,MUS,1962,2041
Mexico,MEX,1962,758
Mongolia,MNG,1962,241
Morocco,MAR,1962,346
Mozambique,MOZ,1962,1032
Myanmar,MMR,1962,2091
Namibia,NAM,1962,285
Nepal,NPL,1962,1500
Netherlands,NLD,1962,778
New Zealand,NZL,1962,1732
Nicaragua,NIC,1962,2280
Niger,NER,1962,151
Nigeria,NGA,1962,1150
Norway,NOR,1962,1414
Oman,OMN,1962,125
Pakistan,PAK,1962,494
Panama,PAN,1962,2928
Papua New Guinea,PNG,1962,3142
Paraguay,PRY,1962,1130
Peru,PER,1962,1738
Philippines,PHL,1962,2348
Poland,POL,1962,600
Portugal,PRT,1962,854
Puerto Rico,PRI,1962,2054
Qatar,QAT,1962,74
Romania,ROM,1962,637
Rwanda,RWA,1962,1212
Sao Tome and Principe,STP,1962,3200
Saudi Arabia,SAU,1962,59
Senegal,SEN,1962,686
Seychelles,SYC,1962,2330
Sierra Leone,SLE,1962,2526
Singapore,SGP,1962,2497
Solomon Islands,SLB,1962,3028
Somalia,SOM,1962,282
South Africa,ZAF,1962,495
Spain,ESP,1962,636
Sri Lanka,LKA,1962,1712
St. Kitts and Nevis,KNA,1962,1427
St. Lucia,LCA,1962,2301
St. Vincent and the Grenadines,VCT,1962,1583
Sudan,SDN,1962,416
Suriname,SUR,1962,2331
Swaziland,SWZ,1962,788
Sweden,SWE,1962,624
Switzerland,CHE,1962,1537
Syrian Arab Republic,SYR,1962,252
Tanzania,TZA,1962,1071
Thailand,THA,1962,1622
Timor-Leste,TMP,1962,1500
Togo,TGO,1962,1168
Trinidad and Tobago,TTO,1962,2200
Tunisia,TUN,1962,207
Turkey,TUR,1962,593
Uganda,UGA,1962,1180
United Arab Emirates,ARE,1962,78
United Kingdom,GBR,1962,1220
United States,USA,1962,715
Uruguay,URY,1962,1300
"Venezuela, RB",VEN,1962,2044
Vietnam,VNM,1962,1821
West Bank and Gaza,WBG,1962,402
"Yemen, Rep.",YEM,1962,167
Zambia,ZMB,1962,1020
Zimbabwe,ZWE,1962,657
